The output is formatted as follows: 
pindex   time    deltaT    dlambda   trial  simp38   simp   trap 
27 50000 0.02 0.05 2 1.39947 1.39555 1.41458
27 50000 0.02 0.05 3 1.39947 1.39555 1.41458
27 50000 0.02 0.05 4 1.39947 1.39555 1.41458

28 50000 0.01 0.05 0 1.40216 1.40413 1.42273
28 50000 0.01 0.05 1 1.40216 1.40413 1.42273
28 50000 0.01 0.05 2 1.40216 1.40413 1.42273
28 50000 0.01 0.05 3 1.40216 1.40413 1.42273
28 50000 0.01 0.05 4 1.40216 1.40413 1.42273

29 50000 0.005 0.05 0 1.3949 1.39731 1.41394
29 50000 0.005 0.05 1 1.3949 1.39731 1.41394
29 50000 0.005 0.05 2 1.3949 1.39731 1.41394
29 50000 0.005 0.05 3 1.3949 1.39731 1.41394
29 50000 0.005 0.05 4 1.3949 1.39731 1.41394

30 50000 0.1 0.02 0 1.57425 1.57292 1.57863
30 50000 0.1 0.02 1 1.57425 1.57292 1.57863
30 50000 0.1 0.02 2 1.57425 1.57292 1.57863
30 50000 0.1 0.02 3 1.57425 1.57292 1.57863
30 50000 0.1 0.02 4 1.57425 1.57292 1.57863

31 50000 0.05 0.02 0 1.41488 1.41704 1.41957
31 50000 0.05 0.02 1 1.41488 1.41704 1.41957
31 50000 0.05 0.02 2 1.41488 1.41704 1.41957
31 50000 0.05 0.02 3 1.41488 1.41704 1.41957
31 50000 0.05 0.02 4 1.41488 1.41704 1.41957

32 50000 0.02 0.02 0 1.37518 1.37428 1.37798
32 50000 0.02 0.02 1 1.37518 1.37428 1.37798
32 50000 0.02 0.02 2 1.37518 1.37428 1.37798
32 50000 0.02 0.02 3 1.37518 1.37428 1.37798
32 50000 0.02 0.02 4 1.37518 1.37428 1.37798

33 50000 0.01 0.02 0 1.40597 1.40585 1.40595
33 50000 0.01 0.02 1 1.40597 1.40585 1.40595
33 50000 0.01 0.02 2 1.40597 1.40585 1.40595
33 50000 0.01 0.02 3 1.40597 1.40585 1.40595
33 50000 0.01 0.02 4 1.40597 1.40585 1.40595

34 50000 0.005 0.02 0 1.37304 1.37788 1.37658
34 50000 0.005 0.02 1 1.37304 1.37788 1.37658
34 50000 0.005 0.02 2 1.37304 1.37788 1.37658
34 50000 0.005 0.02 3 1.37304 1.37788 1.37658
34 50000 0.005 0.02 4 1.37304 1.37788 1.37658

35 50000 0.1 0.01 0 1.6061 1.59711 1.60518
35 50000 0.1 0.01 1 1.6061 1.59711 1.60518
35 50000 0.1 0.01 2 1.6061 1.59711 1.60518
35 50000 0.1 0.01 3 1.6061 1.59711 1.60518
35 50000 0.1 0.01 4 1.6061 1.59711 1.60518

36 50000 0.05 0.01 0 1.41739 1.42322 1.4195
36 50000 0.05 0.01 1 1.41739 1.42322 1.4195
36 50000 0.05 0.01 2 1.41739 1.42322 1.4195
36 50000 0.05 0.01 3 1.41739 1.42322 1.4195
36 50000 0.05 0.01 4 1.41739 1.42322 1.4195

37 50000 0.02 0.01 0 1.38925 1.38696 1.38778
37 50000 0.02 0.01 1 1.38925 1.38696 1.38778
37 50000 0.02 0.01 2 1.38925 1.38696 1.38778
37 50000 0.02 0.01 3 1.38925 1.38696 1.38778
37 50000 0.02 0.01 4 1.38925 1.38696 1.38778

38 50000 0.01 0.01 0 1.38164 1.38554 1.3832
38 50000 0.01 0.01 1 1.38164 1.38554 1.3832
38 50000 0.01 0.01 2 1.38164 1.38554 1.3832
38 50000 0.01 0.01 3 1.38164 1.38554 1.3832
38 50000 0.01 0.01 4 1.38164 1.38554 1.3832

39 50000 0.005 0.01 0 1.37598 1.37543 1.3777
39 50000 0.005 0.01 1 1.37598 1.37543 1.3777
39 50000 0.005 0.01 2 1.37598 1.37543 1.3777
39 50000 0.005 0.01 3 1.37598 1.37543 1.3777
39 50000 0.005 0.01 4 1.37598 1.37543 1.3777

40 100000 0.1 0.1 0 1.63127 1.61918 1.68213
40 100000 0.1 0.1 1 1.63127 1.61918 1.68213
40 100000 0.1 0.1 2 1.63127 1.61918 1.68213
40 100000 0.1 0.1 3 1.63127 1.61918 1.68213
40 100000 0.1 0.1 4 1.63127 1.61918 1.68213

41 100000 0.05 0.1 0 1.43138 1.42031 1.48633
41 100000 0.05 0.1 1 1.43138 1.42031 1.48633
41 100000 0.05 0.1 2 1.43138 1.42031 1.48633
41 100000 0.05 0.1 3 1.43138 1.42031 1.48633
41 100000 0.05 0.1 4 1.43138 1.42031 1.48633

42 100000 0.02 0.1 0 1.41314 1.40268 1.46525
42 100000 0.02 0.1 1 1.41314 1.40268 1.46525
42 100000 0.02 0.1 2 1.41314 1.40268 1.46525
42 100000 0.02 0.1 3 1.41314 1.40268 1.46525
42 100000 0.02 0.1 4 1.41314 1.40268 1.46525

43 100000 0.01 0.1 0 1.4069 1.39658 1.45838
43 100000 0.01 0.1 1 1.4069 1.39658 1.45838
43 100000 0.01 0.1 2 1.4069 1.39658 1.45838
43 100000 0.01 0.1 3 1.4069 1.39658 1.45838
43 100000 0.01 0.1 4 1.4069 1.39658 1.45838

44 100000 0.005 0.1 0 1.43326 1.42783 1.48651
44 100000 0.005 0.1 1 1.43326 1.42783 1.48651
44 100000 0.005 0.1 2 1.43326 1.42783 1.48651
44 100000 0.005 0.1 3 1.43326 1.42783 1.48651
44 100000 0.005 0.1 4 1.43326 1.42783 1.48651

45 100000 0.1 0.05 0 1.60589 1.604 1.62263
45 100000 0.1 0.05 1 1.60589 1.604 1.62263
45 100000 0.1 0.05 2 1.60589 1.604 1.62263
45 100000 0.1 0.05 3 1.60589 1.604 1.62263
45 100000 0.1 0.05 4 1.60589 1.604 1.62263

46 100000 0.05 0.05 0 1.43722 1.43456 1.45491
46 100000 0.05 0.05 1 1.43722 1.43456 1.45491
46 100000 0.05 0.05 2 1.43722 1.43456 1.45491
46 100000 0.05 0.05 3 1.43722 1.43456 1.45491
46 100000 0.05 0.05 4 1.43722 1.43456 1.45491

47 100000 0.02 0.05 0 1.39372 1.39302 1.41149
47 100000 0.02 0.05 1 1.39372 1.39302 1.41149
47 100000 0.02 0.05 2 1.39372 1.39302 1.41149
47 100000 0.02 0.05 3 1.39372 1.39302 1.41149
47 100000 0.02 0.05 4 1.39372 1.39302 1.41149

48 100000 0.01 0.05 0 1.39439 1.39551 1.41094
48 100000 0.01 0.05 1 1.39439 1.39551 1.41094
48 100000 0.01 0.05 2 1.39439 1.39551 1.41094
48 100000 0.01 0.05 3 1.39439 1.39551 1.41094
48 100000 0.01 0.05 4 1.39439 1.39551 1.41094

49 100000 0.005 0.05 0 1.38851 1.38992 1.40873
49 100000 0.005 0.05 1 1.38851 1.38992 1.40873
49 100000 0.005 0.05 2 1.38851 1.38992 1.40873
49 100000 0.005 0.05 3 1.38851 1.38992 1.40873
49 100000 0.005 0.05 4 1.38851 1.38992 1.40873

50 100000 0.1 0.02 0 1.59264 1.5894 1.597
50 100000 0.1 0.02 1 1.59264 1.5894 1.597
50 100000 0.1 0.02 2 1.59264 1.5894 1.597
50 100000 0.1 0.02 3 1.59264 1.5894 1.597
50 100000 0.1 0.02 4 1.59264 1.5894 1.597

51 100000 0.05 0.02 0 1.41674 1.41698 1.42334
51 100000 0.05 0.02 1 1.41674 1.41698 1.42334
51 100000 0.05 0.02 2 1.41674 1.41698 1.42334
